,M+1,"M+1, premium",Premium on MVA 7,Premium on MVA 30,Premium on MVA 60,Day ahead price,DA MVA 7,DA MVA 30,DA MVA 60,DA rolling vol 7,DA rolling vol 30,DA rolling vol 60
M+1,1.0,0.34692061806258,0.49020017054950416,0.5905207338345457,0.6327900194624034,0.8977362156196563,0.942883351168163,0.9377871861904447,0.919514685750717,0.768216158689683,0.8293192376123758,0.8182364144667383
"M+1, premium",0.34692061806258,1.0,0.6042418805035666,0.2421836104353624,0.11434339729198931,-0.10173065951752693,0.16116466677605765,0.3092813702216078,0.372391491067416,0.300834108697307,0.36691475076124713,0.39744539955748504
Premium on MVA 7,0.49020017054950416,0.6042418805035666,1.0,0.5563344244763291,0.32833379804445684,0.2361334513851743,0.171848210322158,0.34489004778769944,0.4415381678401942,0.32569792842815687,0.42238309192432383,0.46918843180514497
Premium on MVA 30,0.5905207338345457,0.2421836104353624,0.5563344244763291,1.0,0.819025515398989,0.5126025685235781,0.4547997753209376,0.27357603077019815,0.31692766707005654,0.3068692605317048,0.2552661642075052,0.32057793656211275
Premium on MVA 60,0.6327900194624034,0.11434339729198931,0.32833379804445684,0.819025515398989,1.0,0.6174841702798521,0.5897141869320931,0.40181655706898306,0.27750751377159716,0.3754727791874527,0.27184532458008487,0.19348584428189222
Day ahead price,0.8977362156196563,-0.10173065951752693,0.2361334513851743,0.5126025685235781,0.6174841702798521,1.0,0.9244037957312751,0.84942725726612,0.8004027460765661,0.6735332849308631,0.7073061072211206,0.6812103190203769
DA MVA 7,0.942883351168163,0.16116466677605765,0.171848210322158,0.4547997753209376,0.5897141869320931,0.9244037957312751,1.0,0.9281047835930186,0.8705143538603471,0.7437848731332671,0.775893292709336,0.7454784382440267
DA MVA 30,0.9377871861904447,0.3092813702216078,0.34489004778769944,0.27357603077019815,0.40181655706898306,0.84942725726612,0.9281047835930186,1.0,0.9595704456573114,0.7835726681887337,0.8785999621350012,0.8372913765783219
DA MVA 60,0.919514685750717,0.372391491067416,0.4415381678401942,0.31692766707005654,0.27750751377159716,0.8004027460765661,0.8705143538603471,0.9595704456573114,1.0,0.7625516203824864,0.8909663278695847,0.916991767614576
DA rolling vol 7,0.768216158689683,0.300834108697307,0.32569792842815687,0.3068692605317048,0.3754727791874527,0.6735332849308631,0.7437848731332671,0.7835726681887337,0.7625516203824864,1.0,0.8051809599805442,0.7206302564975675
DA rolling vol 30,0.8293192376123758,0.36691475076124713,0.42238309192432383,0.2552661642075052,0.27184532458008487,0.7073061072211206,0.775893292709336,0.8785999621350012,0.8909663278695847,0.8051809599805442,1.0,0.9080370126968844
DA rolling vol 60,0.8182364144667383,0.39744539955748504,0.46918843180514497,0.32057793656211275,0.19348584428189222,0.6812103190203769,0.7454784382440267,0.8372913765783219,0.916991767614576,0.7206302564975675,0.9080370126968844,1.0
