Parameter,initial,calibrated,,,,,,,,,,,,,,,,,,
sigma_0,0.11892,0.26331,,,,,,,,,,,,,,,,,,
lambda_0,11.21453,17.03732,,,,,,,,,,,,,,,,,,
jump_mean_pos,0.69548,0.67323,,,,,,,,,,,,,,,,,,
jump_std_pos,0.35330,0.41601,,,,,,,,,,,,,,,,,,
jump_mean_neg,(0.66085),(0.83126),,,,,,,,,,,,,,,,,,
jump_std_neg,0.34239,0.37821,,,,,,,,,,,,,,,,,,
kappa,0.04427,0.00000,,,,,,,,,,,,,,,,,,
theta,226.95148,266.38397,,,,,,,,,,,,,,,,,,
eta,5.37586,3.00991,,,,,,,,,,,,,,,,,,
alpha,0.00243,0.01846,,,,,,,,,,,,,,,,,,
beta_pos,0.00207,0.00261,,,,sigma_0, lambda_0, jump_mean_pos, jump_std_pos, jump_mean_neg, jump_std_neg, kappa, theta, eta, alpha, beta_pos, beta_neg, gamma_pos, gamma_neg, prob_positive
beta_neg,(0.00186),(0.00325),,,,,,,,,,,,,,,,,,
gamma_pos,0.00119,0.01812,,,,sigma_0,sigma_0,,,,,,,,,,,,,
gamma_neg,0.00124,0.01422,,,,lambda_0,lambda_0,,,,,,,,,,,,,
prob_positive,0.54706,0.54706,,,,jump_mean_pos,jump_mean_pos,,,,,,,,,,,,,
,,,,,,jump_std_pos,jump_std_pos,,,,,,,,,,,,,
,,,,,,jump_mean_neg,jump_mean_neg,,,,,,,,,,,,,
,,,,,,jump_std_neg,jump_std_neg,,,,,,,,,,,,,
,,,,,,kappa,kappa,,,,,,,,,,,,,
,,,,,,theta,theta,,,,,,,,,,,,,
,,,,,,eta,eta,,,,,,,,,,,,,
,,,,,,alpha,alpha,,,,,,,,,,,,,
,,,,,,beta_pos,beta_pos,,,,,,,,,,,,,
,,,,,,beta_neg,beta_neg,,,,,,,,,,,,,
,,,,,,gamma_pos,gamma_pos,,,,,,,,,,,,,
,,,,,,gamma_neg,gamma_neg,,,,,,,,,,,,,
,,,,,,prob_positive,prob_positive,,,,,,,,,,,,,
